,portfolio_value
654,322173.2120166378
655,316890.0657153493
656,310736.2135653291
657,311811.30466251954
658,309764.3272605898
659,308448.87372049934
660,309048.86117743247
661,309473.43000172207
662,310927.2701097138
663,310982.82511166803
664,313200.19410145114
665,314523.6204956373
666,314841.70411554317
667,314469.9774223395
668,303205.3300393405
669,297665.61540987826
670,293561.988071336
671,299408.2979291727
672,294276.8388899289
673,298525.0654965242
674,298480.00691742403
675,298434.7238750074
676,296834.002620838
677,286079.32929743
678,287201.55897257186
679,284358.7470491598
680,284157.77017615514
681,279207.4659746
682,286287.2678766775
683,294974.2935980444
684,292627.4011682924
685,296184.31246854283
686,298221.78688718454
687,301066.05084759
688,292652.2031648499
689,292931.05551903835
690,290677.99837058305
691,291002.44991111197
692,301563.12212836737
693,313972.77718556585
694,315326.7088285983
695,316632.62690082804
696,314161.63282187405
697,321518.7525804855
698,335832.4684695683
699,332682.0059650943
700,327780.9769448381
701,330990.00063801755
702,330436.56818808767
703,322965.2708824658
704,319434.5367041633
705,319087.78151195386
706,316945.99718238995
707,306890.0084735214
708,302946.6787331695
709,292501.7507586396
710,298265.1725319834
711,288290.1092312013
712,290356.2075256134
713,289005.84955261217
714,290436.9304486608
715,292209.2781221689
716,298286.88169147045
717,292307.7449588095
718,296767.0726449062
719,294094.2465832758
720,297501.77371417865
721,301343.15906449745
722,305342.61588096054
723,308499.97407657024
724,308898.89116678236
725,307055.8209033783
726,307923.2458654708
727,312154.43129769934
728,303286.61446029716
729,298702.5361842789
730,297369.40882411564
731,295602.7625849487
732,296122.5834364931
733,296643.5798439667
734,300338.7013490856
735,300303.1012168126
736,295640.34134016867
737,298104.0229373425
738,298737.2381126849
739,302204.19354957674
740,305267.4359554209
741,301853.7734130671
742,298699.9115257609
743,299166.93251399836
744,303226.0652895628
745,302598.5689687819
746,302109.1086592149
747,301340.16182484746
748,300360.78795076965
749,300506.5004157025
750,300458.42717916303
751,301043.4999167305
752,300606.1263661131
753,294008.37894783274
754,283752.97264804255
755,286327.22249131545
756,291639.50845901086
757,295198.93250378454
758,294219.93836991506
759,290469.8925227451
760,290160.423334999
761,288955.1738282973
762,287599.1685564693
763,279948.2566361106
764,284210.3381082526
